"Table 27 -- World coarse grain trade: Selected exporters and importers by commodity (1,000 metric tons)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Export/import and country/region 1/,,1960/61,1961/62,1962/63,1963/64,1964/65,1965/66,1966/67,1967/68,1968/69,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19
Corn exporters,United States,"6,326","9,922","10,195","11,558","13,080","16,988","12,547","14,515","12,980","15,872","13,078","16,719","28,892","34,853","28,384","39,590","42,774","49,479","54,180","61,801","59,420","49,640","47,160","46,932","46,427","31,147","39,330","43,978","50,512","60,034","44,575","40,686","42,572","33,106","58,689","52,753","46,711","37,789","52,030","49,493","48,329","47,271","40,924","48,809","45,347","56,084","54,214","60,663","47,758","49,696","45,162","38,342","18,262","50,691","46,831","51,098","55,593","63,636","60,000"
,Tanzania,36,0,0,2,39,2,7,0,60,0,46,7,30,0,0,0,0,0,49,0,0,0,0,0,0,0,0,90,20,56,14,0,0,0,8,0,0,0,0,0,0,20,0,0,0,0,100,25,5,5,75,200,25,600,350,400,50,100,200
,Thailand,519,589,722,923,896,"1,132","1,180","1,214","1,289","1,502","1,663","2,111","1,039","2,131","1,979","2,386","1,920","1,366","1,927","2,067","2,113","3,226","2,311","3,286","3,147","3,758","2,490",824,"1,211","1,319","1,165",458,199,93,162,84,21,83,100,75,407,184,137,726,396,121,442,646,709,951,334,224,114,"1,109",247,439,692,223,200
,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,100,100,100,100,100,100,50,100,200,200,200,100,100
,Australia (No Islands),0,0,10,0,1,0,2,3,0,1,22,41,9,3,1,11,34,25,8,15,25,15,8,43,120,57,19,50,20,36,18,17,21,22,4,9,13,12,22,47,53,53,92,13,8,4,2,4,74,7,22,101,124,67,54,57,69,75,75
,China (Mainland),14,0,19,98,285,232,123,25,35,0,31,300,200,150,225,225,125,75,50,75,125,100,50,330,"5,240","6,400","3,750","4,510","4,008","3,085","6,880","9,974","11,463","11,594","1,333",157,"3,892","6,173","3,338","9,935","7,276","8,611","15,244","7,553","7,589","3,727","5,269",549,172,151,111,91,81,22,13,4,77,19,50
,Indonesia,0,0,0,0,0,45,121,111,110,202,246,156,90,215,200,51,4,10,21,23,15,5,0,160,5,10,4,42,231,125,28,145,81,35,60,37,20,559,144,29,90,19,19,41,46,42,79,91,101,37,12,39,11,12,256,21,3,272,50
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,2,0,2,5,4,6,15,12,2,12,4,4,2,8,6,17,4,19,33,70,26,50,50
,Turkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,14,8,8,8,88,36,10,3,1,5,3,7,8,9,12,11,311,12,11,176,161,14,19,16,253,66,51,108,82,50
,Uganda,1,0,8,4,0,0,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,11,101,69,81,29,33,23,4,24,42,31,92,50,50,50,25,25,100,100,100,100,300,250,100,100,400,50
,Malaysia,7,12,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,18,30,9,0,223,129,211,33,8,12,14,43,0,2,3,11,2,18,4,42,30,30,30
,Chile,,0,0,0,0,0,0,0,0,0,46,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,10,1,0,0,7,7,32,25,25,11,51,57,62,58,72,76,74,76,54,49,82,101,74,23,24,22,27,25
,Jordan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,13,10,17,42,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,28,2,9,23,18,25,25,25,25,25,25
,Malawi,,20,20,20,1,44,91,87,44,0,0,5,5,0,0,0,0,0,0,0,0,50,100,100,120,80,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,100,1,0,200,100,300,300,300,300,300,100,100,50,25,25,25
,Burkina Faso,0,0,0,0,,,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,25,15,0,25,50,15,15,25,20,20
,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,100,100,300,150,10,50,80,30,20,20
,Bosnia-Hercegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,57,0,0,30,1,0,154,0,0,0,0,0,0,0,0,10,25,5,0,0,50,75,5,10,1,10
,Egypt,1,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,19,13,13,6,3,4,4,6,10,10,10
,Israel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,20,40,55,50,10,10,10,10,10,10
,Kenya,1,9,68,52,2,0,0,233,258,7,5,0,141,139,5,220,55,25,145,0,0,0,77,0,0,175,318,100,126,147,41,0,0,0,140,231,21,8,0,0,0,180,0,0,0,0,43,27,7,8,8,11,7,2,2,3,6,10,10
,Peru,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,2,0,2,0,5,2,1,5,4,4,2,3,3,0,4,7,5,7,7,6,8,8,7,9,7,8,9,9,8,9,8,9,10
,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,10,10,10,10,10,10,10
,Yemen United,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,15,10,10,10,10,10,10,10,10
,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,0,2,28,0,2,4,7,4,12,32,11,28,16,2,37,48,2,79,60,3,3,5
