"Table 16--Byproduct feeds: Average wholesale price, bulk, specified markets (dollars per ton)",,,,,,,,,,,,,,
"Commodity and
mkt yr 1/",,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Avg 2/
,2000/01,52.35,57.12,81.50,96.07,64.82,55.52,51.10,42.93,53.29,63.60,69.11,67.17,62.88
,2001/02,59.76,66.38,76.45,57.14,60.53,66.00,52.27,41.02,49.80,53.95,61.25,72.68,59.77
,2002/03,71.50,66.70,78.30,70.20,70.70,64.80,50.00,49.80,54.70,46.10,63.00,68.70,62.88
,2003/04,71.30,86.50,90.26,90.58,80.37,82.34,77.40,68.28,67.50,63.88,62.30,51.13,74.32
,2004/05,44.88,41.60,46.75,46.38,37.88,41.38,38.25,30.60,21.88,25.13,22.90,43.38,36.75
,2005/06,56.00,64.57,87.38,72.05,69.42,75.43,50.21,49.20,61.95,69.83,59.24,64.63,64.99
,2006/07,77.59,97.02,124.40,120.29,133.71,96.75,62.90,57.43,50.75,37.38,55.52,82.26,83.00
,2007/08,106.00,120.14,137.29,142.36,170.65,129.28,120.84,119.95,129.71,150.52,138.33,130.05,132.93
,2008/09,124.91,127.71,129.00,122.83,125.36,69.64,82.62,87.70,76.66,75.02,76.19,61.64,96.61
,2009/10,90.39,118.48,106.41,111.31,87.61,71.02,58.79,52.00,58.36,56.05,77.77,124.40,84.38
,2010/11,134.69,141.88,164.31,157.33,145.13,151.35,151.38,171.31,158.80,174.80,199.93,219.69,164.22
,2011/12,185.69,198.55,196.24,138.58,136.35,126.71,108.05,136.28,144.36,212.28,256.13,216.21,171.28
,2012/13,208.57,193.60,217.37,196.38,197.47,196.93,183.64,138.75,147.13,138.30,120.91,140.35,173.28
,2013/14,153.37,138.69,198.00,151.62,150.24,156.62,133.38,131.07,102.43,70.36,81.24,106.62,131.14
,2014/15,111.48,106.87,135.83,140.93,124.85,"1,118.55",81.93,64.25,60.27,77.96,92.72,112.67,185.69
,2015/16,105.93,106.53,99.55,104.16,97.89,68.64,65.12,60.72,57.94,61.48,60.61,64.43,79.42
,2016/17,79.43,85.53,101.62,98.25,84.66,80.76,58.03,48.41,60.39,67.10,63.15,67.48,74.57
,2017/18,70.36,86.85,107.88,123.68,114.61,99.69,100.22,98.90,89.50,64.50,83.50,84.00,93.64
,2018/19,80.00,105.00,148.00,108.10,98.88,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"1/ October-September.
2/ Simple average of monthly prices reported for the marketing year.
3/ f.o.b. = free on board.
Source: USDA, Agricultural Marketing Service, Grain and Feed Market News.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Date run: 3/11/2019,,,,,,,,,,,,,,
